IFRS_MONTH,NAMA_PRODUK,Liabilitas Kontrak Asuransi (Saldo Awal),Aset Kontrak Asuransi (Saldo Awal),Saldo Bersih Kontrak Asuransi (Saldo Awal),Pendapatan Jasa Asuransi,Ekspektasi Klaim & Beban Attributable (Estimasi),Ekspektasi Klaim,Ekspektasi Komisi,Ekspektasi Beban Attributable,Perubahan pada Penyesuaian Risiko (RA),Perubahan pada CSM (Amortisasi),Pendapatan Jasa Asuransi Lainnya,Beban Jasa Asuransi,Beban Klaim & Biaya Attributable,Amortisasi Arus Kas Akuisisi (Beban),Kerugian dari Kontrak Merugi (Onerous),Beban Jasa Asuransi Lainnya,Hasil Jasa Asuransi Kotor,Penerimaan Premi,Arus Kas Akuisisi Asuransi,Beban Klaim & Beban Jasa Asuransi Dibayarkan,Arus Kas Bersih,Pendapatan (Beban) Keuangan Kontrak Asuransi (P&L),Pendapatan (Beban) Keuangan Kontrak Asuransi (OCI),Alokasi Aset untuk Arus Kas Akuisisi,Komponen Investasi,Perubahan Lainnya,Total Perubahan,Liabilitas Kontrak Asuransi (Saldo Akhir),Aset Kontrak Asuransi (Saldo Akhir),Saldo Bersih Kontrak Asuransi (Saldo Akhir)
2024-01-01,RELIFE,6185401590.543882,30366782.153313,6155034808.39057,97268948.2076017,89273111.29890288,83163269.6716726,116964.42986401905,5992877.197366269,7995836.908698818,7.504504881431934e-13,0,-520772555.99028695,5608856.169878567,116964.42986401905,-526498376.59002954,0,-618041504.1978886,0.0,0.0,0,0.0,-623767324.7976313,0,116964.42986401905,46455930.82549085,0.0,-577194429.5422764,5608090196.571742,30249817.72344898,5577840378.848293
2024-02-01,RELIFE,5608090196.571742,30249817.72344898,5577840378.848293,23547212.662768565,21411604.15864088,18600339.12521981,55519.11736401905,2755745.916057049,2135608.5041276864,7.504504881426237e-13,0,15739705.348762244,2755745.916057049,55519.11736401905,12928440.315341176,0,-7807507.314006321,0.0,0.0,0,0.0,-10618772.347427389,0,55519.11736401905,41304728.95810136,0.0,30741475.72803799,5638776153.182416,30194298.60608496,5608581854.576331
2024-03-01,RELIFE,5638776153.182417,30194298.60608496,5608581854.576332,137880786.65912557,125351216.88260178,122421156.81888711,55519.117364019054,2874540.946350655,12529569.77652378,7.504504881420577e-13,0,15849455.52778209,2874540.946350655,55519.117364019054,12919395.464067416,0,-122031331.13134348,1649700.0,0.0,0,1649700.0,-123311691.19505815,0,55519.117364019054,37302996.05084862,0.0,-85953176.02684551,5552767458.038207,30138779.488720942,5522628678.549486
2024-04-01,RELIFE,5552767458.038207,30138779.488720942,5522628678.549486,109177320.62033156,99266530.6568225,86160487.17322971,192621.1074137697,12913422.37617902,9910789.963509046,1.1607495773227114e-10,0,27366521.51628441,12921482.976351803,192621.1074137697,14252417.432518836,0,-81810799.10404715,632800.0,0.0,0,632800.0,-94292103.18781272,0,192621.1074137697,57641756.563751,0.0,-36457725.51664795,5516117111.414145,29946158.381307174,5486170953.032838
2024-05-01,RELIFE,5516117111.414145,29946158.381307174,5486170953.032838,188172673.1369774,171173293.46660444,163373116.9371003,138078.58564760129,7662097.943856545,16999379.670372963,5.33223769463512e-13,0,17922064.32943946,7430042.45930049,138078.58564760129,10353943.284491368,0,-170250608.80753794,0.0,0.0,0,0.0,-177818729.85248604,0,138078.58564760129,44122091.93788362,0.0,-133558559.32895482,5382420473.499543,29808079.795659572,5352612393.703883
2024-06-01,RELIFE,5382420473.499543,29808079.795659572,5352612393.703883,185655031.06999436,168782234.01649314,165908548.01236415,54263.481480934475,2819422.52264808,16872797.053501226,5.332237694623641e-13,0,14059091.770423405,2820958.7390401997,54263.481480934475,11183869.54990227,0,-171595939.29957095,0.0,0.0,0,0.0,-174471161.5200921,0,54263.481480934475,25432708.803858455,0.0,-148984189.2347527,5233382020.783309,29753816.31417864,5203628204.4691305
2024-07-01,RELIFE,5233382020.783309,29753816.31417864,5203628204.4691305,180016091.0784058,163663391.78942627,156505392.47076976,116852.27929514232,7041147.039361365,16352699.288979542,5.331565177231071e-13,0,16728983.171807222,7038734.325914738,116852.27929514232,9573396.56659734,0,-163287107.90659857,0.0,0.0,0,0.0,-170442694.51180845,0,116852.27929514232,32148854.62000497,0.0,-138176987.61250833,5095088180.891505,29636964.034883495,5065451216.856622
2024-08-01,RELIFE,5095088180.891505,29636964.034883495,5065451216.856622,99577895.91971101,90822167.5637471,80113935.8117101,195779.46384314113,10512452.28819385,8755728.355963914,5.312825848553459e-13,0,21284510.595372405,9920897.252940623,195779.46384314113,11167833.878588641,0,-78293385.3243386,0.0,0.0,0,0.0,-88410062.04112236,0,195779.46384314113,60373173.66168892,0.0,-27841108.91559031,5067051292.512072,29441184.571040355,5037610107.941031
2024-09-01,RELIFE,5067051292.512072,29441184.57104035,5037610107.941031,51838010.560761854,47130359.04387748,44013011.30933018,53843.875033771415,3063503.8595135263,4707651.516884371,5.31282584854185e-13,0,11198776.678983362,3066347.9642074285,53843.875033771415,8078584.839742162,0,-40639233.88177849,4015200.0,0.0,0,4015200.0,-39744225.72101969,0,53843.875033771415,31282107.35462002,0.0,-8408274.491365898,5058589174.145673,29387340.69600658,5029201833.449666
2024-10-01,RELIFE,5058589174.145673,29387340.69600658,5029201833.449666,150530423.5635388,136850734.50094742,133943134.5488558,53843.875033771415,2853756.077057859,13679689.062591366,5.312825848530227e-13,0,9394959.731357826,2856957.985281116,53843.875033771415,6484157.871042939,0,-141135463.83218098,0.0,0.0,0,0.0,-144046265.69249585,0,53843.875033771415,36992477.64431321,0.0,-106999944.17314887,4951535386.097489,29333496.82097281,4922201889.276517
