IFRS_MONTH,KEY,Liabilitas Kontrak Asuransi (Saldo Awal),Aset Kontrak Asuransi (Saldo Awal),Saldo Bersih Kontrak Asuransi (Saldo Awal),Pendapatan Jasa Asuransi,Ekspektasi Klaim & Beban Attributable (Estimasi),Ekspektasi Klaim,Ekspektasi Komisi,Ekspektasi Beban Attributable,Perubahan pada Penyesuaian Risiko (RA),Perubahan pada CSM (Amortisasi),Pendapatan Jasa Asuransi Lainnya,Beban Jasa Asuransi,Beban Klaim & Biaya Attributable,Amortisasi Arus Kas Akuisisi (Beban),Kerugian dari Kontrak Merugi (Onerous),Beban Jasa Asuransi Lainnya,Hasil Jasa Asuransi Kotor,Penerimaan Premi,Arus Kas Akuisisi Asuransi,Beban Klaim & Beban Jasa Asuransi Dibayarkan,Arus Kas Bersih,Pendapatan (Beban) Keuangan Kontrak Asuransi (P&L),Pendapatan (Beban) Keuangan Kontrak Asuransi (OCI),Alokasi Aset untuk Arus Kas Akuisisi,Komponen Investasi,Perubahan Lainnya,Total Perubahan,Liabilitas Kontrak Asuransi (Saldo Akhir),Aset Kontrak Asuransi (Saldo Akhir),Saldo Bersih Kontrak Asuransi (Saldo Akhir),NAMA_PRODUK
2024-10-01,ASURANSI STAR PREMIUM DOLLAR_2020,-6129602.867264565,16946569.50586763,-23076172.373132195,7920661.299943581,6656199.051155467,828914.1763633759,3622368.1757251,2204916.699066991,303383.08754303673,961079.1612450774,0,5827284.874792092,2204916.699066991,3622368.1757251,0.0,0,-2093376.4251514897,6716492.879408716,-2716708.6360755335,0,9433201.51548425,-1204168.420534865,0,905659.5396495666,1854672.063618411,2078904.5738519533,3635067.756585066,-3400194.6503290683,16040909.966218062,-19441104.61654713,SPUL
2024-11-01,ASURANSI STAR PREMIUM DOLLAR_2020,-3400194.6503290683,16040909.966218062,-19441104.61654713,7976038.901821791,6771079.188645807,854626.2587901579,3386840.368505886,2529612.5613497635,338423.8820139922,866535.8311619917,0,5916452.929855649,2529612.5613497635,3386840.368505886,0.0,0,-2059585.9719661418,4081420.8474234743,-5318693.108192904,0,9400113.955616377,-3894618.054398317,0,-1931852.739687018,-908796.3974696012,-6902249.486542117,-13637516.678097054,-15105858.588739105,17972762.70590508,-33078621.294644184,SPUL
2024-12-01,ASURANSI STAR PREMIUM DOLLAR_2020,-15105858.588739105,17972762.70590508,-33078621.294644184,7740144.180315204,6605367.214964338,899620.2252092165,3183216.991449479,2522529.9983056425,342215.0223514859,792561.9429993811,0,5705746.989755122,2522529.9983056425,3183216.991449479,0.0,0,-2034397.190560082,1164649.9574647003,-4466542.768076217,0,5631192.725540917,-6575494.222850503,0,-1283325.7766267378,-1116489.9001747002,18006673.121934157,9031363.222282216,-4791169.589830153,19256088.482531816,-24047258.07236197,SPUL
2023-12-01,ASURANSI STAR PREMIUM DOLLAR_2021,-2971883528.7798758,1070372094.9255159,-4042255623.705392,419188058.6209858,408439357.5661284,19627721.696687426,300952347.017554,87859288.851887,10748701.054857444,-0.0,0,1893317093.417166,84890692.052908,300952347.017554,1507474054.346704,0,1474129034.7961802,175132132.31233752,-280759928.7963882,0,455892061.1087257,1263418128.038056,0,20192418.221165776,-32974101.999222133,213896776.92820257,1464533221.1882021,-1527542725.81284,1050179676.7043501,-2577722402.51719,SPUL
2024-01-01,ASURANSI STAR PREMIUM DOLLAR_2021,-1527542725.81284,1050179676.7043501,-2577722402.51719,282250853.90642977,272154992.36775017,19001989.354317054,169037555.94736296,84115447.06607017,10311743.642038722,-215882.1033591156,0,314526917.5719531,84115447.06607017,169037555.94736296,61373914.55852001,0,32276063.66552335,83538978.02031063,-75001120.89095053,0,158540098.91126114,-137337961.3275991,0,94036435.05641243,-25064307.41269245,193412242.65838903,125046408.9745099,-1496532751.8947425,956143241.6479377,-2452675993.5426803,SPUL
2024-02-01,ASURANSI STAR PREMIUM DOLLAR_2021,-1496532751.8947425,956143241.6479377,-2452675993.5426803,279361222.36397976,271249287.6800654,19046893.508067008,168759787.70486578,83442606.46713263,10248949.997519964,-2137015.3136055893,0,252202394.1719984,83442606.46713263,168759787.70486578,0.0,0,-27158828.191981345,121412277.8480845,-97206702.26120695,0,218618980.10929143,-157948944.51589525,0,71553085.44365883,-25190132.010024905,30962809.04395534,-80623182.03830598,-1648709019.376707,884590156.2042788,-2533299175.580986,SPUL
2024-03-01,ASURANSI STAR PREMIUM DOLLAR_2021,-1648709019.376707,884590156.2042788,-2533299175.580986,261968256.15285254,253334982.11187023,16329453.650295716,167002241.70204726,70003286.75952727,8633274.040982299,-0.0,0,684586091.818973,81883344.5167971,167002241.70204726,435700505.6001286,0,422617835.6661204,207892659.669768,-107760599.42011319,0,315653259.0898812,381624909.1170441,0,59241642.28193407,-30559737.79729824,-23284753.62647775,387022059.9752022,-1320928601.6834393,825348513.9223448,-2146277115.605784,SPUL
2024-04-01,ASURANSI STAR PREMIUM DOLLAR_2021,-1320928601.6834393,825348513.9223448,-2146277115.605784,283910928.9444091,268228655.93976143,19320865.237433717,164787301.11366266,84120489.58866504,10344135.482609877,5338137.522037742,0,-187450281.87264904,84120489.58866504,164787301.11366266,-436358072.57497674,0,-471361210.8170581,107340583.95611139,-136001305.48252136,0,243341889.43863273,-612928417.5632744,0,28785995.631141305,-45042315.90862972,147329568.7205127,-481855169.12025017,-1831569766.4348307,796562518.2912035,-2628132284.726034,SPUL
2024-05-01,ASURANSI STAR PREMIUM DOLLAR_2021,-1831569766.4348302,796562518.2912035,-2628132284.7260337,278547733.6743034,264650643.27282608,19392425.1052452,161684596.64325005,83573621.52433081,10296604.662957601,3600485.7385197524,0,245258218.16758084,83573621.52433081,161684596.64325005,0.0,0,-33289515.50672257,129647233.45276558,-107798111.26554352,0,237445344.7183091,-148900500.22153783,0,53886485.37770653,-47822173.76892508,96088957.12302378,-46747231.48973259,-1932203483.3022695,742676032.913497,-2674879516.2157664,SPUL
2024-06-01,ASURANSI STAR PREMIUM DOLLAR_2021,-1932203483.3022695,742676032.913497,-2674879516.2157664,276141897.18151146,260673661.86329472,19516934.41642444,158547126.5204799,82609600.92639042,10212653.534281487,5255581.783935265,0,241156727.44687033,82609600.92639042,158547126.5204799,0.0,0,-34985169.734641135,123441372.00688936,-102780107.29725239,0,226221479.30414176,-152700525.17462212,0,55767019.2232275,-43809174.006270505,369241924.128836,228499244.17117086,-1759471258.3543262,686909013.6902695,-2446380272.0445957,SPUL
