Uraian,Pendapatan_premi,Premi_Reasuransi,Penurunan_kenaikan_CAPYBMP,Jumlah_Pendapatan_Premi_Neto,Hasil_Investasi,Imbalan_Jasa_DPLK_Jasa_Manajemen_Lainnya,Pendapatan_Lain,Jumlah_Pendapatan,Klaim_dan_Manfaat_Dibayar,Klaim_Penebusan_Unit,Klaim_Reasuransi,Kenaikan_Penurunan_Cadangan_Premi,Kenaikan_Penurunan_Cadangan_Klaim,Kenaikan_Penurunan_Cadangan_atas_Risiko_Bencana_Catastrophic,Jumlah_Beban_Klaim_dan_Manfaat,Beban_Komisi_Tahun_Pertama,Beban_Komisi_Tahun_Lanjutan,Beban_Komisi_Overriding,Beban_Lainnya,Jumlah_Biaya_Akuisisi,Jumlah_Beban_Asuransi,Beban_Pemasaran,Beban_Umum_dan_Administrasi,Beban_Pegawai_dan_Pengurus,Beban_Pendidikan_dan_Pelatihan,Beban_Umum_dan_Administrasi_Lainnya,Beban_Manajemen,Beban_Mortalitas,Beban_Usaha_Lainnya,Jumlah_Beban_Usaha,Jumlah_Beban,Kenaikan_Penurunan_Nilai_Aset,Laba_Rugi_Sebelum_Pajak,Pajak_Penghasilan,Laba_Rugi_Setelah_Pajak,Pendapatan_Komprehensif_Lain,Total_Laba_Rugi_Komprehensif,IFRS_MONTH
Tradisional,5420.2875964800005,284.90879570000004,-205.88065968,4929.498141100001,17811.105446810005,0.0,50980.15103408,73720.75462199001,1106.08557699,0.0,36.03400068,203.35188164,755.61548499,12.3096869,2041.32862984,20848.843093310003,0.0,0.0,1564.612,22413.455093310004,24454.78372315,214.04017271,27150.043041440003,21057.193089490003,672.024965,5420.82498695,0.0,0.0,-681.6743127899999,26682.40890136,51137.19262451,0.0,22583.561997480007,0.0,22583.561997480007,4921.183,27504.744997480007,2023-08-01
PAYDI,1760016.898356,0.0,0.0,1760016.898356,130370.26722115005,0.0,0.0,1890387.16557715,0.0,2234504.7265003105,0.0,0.0,0.0,0.0,2234504.7265003105,0.0,0.0,0.0,0.0,0.0,2234504.7265003105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6845.144488329999,6845.144488329999,2241349.8709886405,-350962.7054114905,0.0,0.0,0.0,0.0,0.0,2023-08-01
Gabungan,1765437.18595248,284.90879570000004,-205.88065968,1764946.3964971,148181.37266796007,0.0,50980.15103408,1964107.92019914,1106.08557699,2234504.7265003105,36.03400068,203.35188164,755.61548499,12.3096869,2236546.05513015,20848.843093310003,0.0,0.0,1564.612,22413.455093310004,2258959.510223461,214.04017271,27150.043041440003,21057.193089490003,672.024965,5420.82498695,0.0,0.0,6163.470175539999,33527.55338969,2292487.0636131507,-350962.7054114905,22583.56199747976,0.0,22583.56199747976,4921.183,27504.74499747976,2023-08-01
Tradisional,6108.62170566,320.90768819,-25.02429745,5762.68972002,16941.00127636,0.0,58762.82799545999,81466.51899183998,1222.47794099,0.0,38.55742818,233.82109653,514.83681996,8.70239231,1941.28082161,23491.92856206,0.0,0.0,2095.648177,25587.57673906,27528.85756067,286.54290743,30781.906891350005,23512.463055490003,817.56666,6451.8771758600005,0.0,0.0,-1026.958333949995,30041.49146483001,57570.34902550001,0.0,23896.169966339978,0.0,23896.169966339978,5614.043,29510.212966339976,2023-09-01
PAYDI,1935473.49804,0.0,0.0,1935473.49804,207792.48418045003,0.0,0.0,2143265.98222045,0.0,2500323.5265985304,0.0,0.0,0.0,0.0,2500323.5265985304,0.0,0.0,0.0,0.0,0.0,2500323.5265985304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8845.420329700002,8845.420329700002,2509168.9469282306,-365902.96470778063,0.0,0.0,0.0,0.0,0.0,2023-09-01
Gabungan,1941582.11974566,320.90768819,-25.02429745,1941236.18776002,224733.48545681004,0.0,58762.82799545999,2224732.50121229,1222.47794099,2500323.5265985304,38.55742818,233.82109653,514.83681996,8.70239231,2502264.8074201406,23491.92856206,0.0,0.0,2095.648177,25587.57673906,2527852.384159201,286.54290743,30781.906891350005,23512.463055490003,817.56666,6451.8771758600005,0.0,0.0,7818.461995750007,38886.91179453001,2566739.295953731,-365902.96470778063,23896.1699663396,0.0,23896.1699663396,5614.043,29510.2129663396,2023-09-01
Tradisional,6735.3432072,359.81307259000005,74.97730320000001,6450.50743781,17327.823261690002,0.0,63765.79206748,87544.12276698,1279.49834899,0.0,38.55742818,322.7162561,707.88905958,5.181034690000001,2276.72727118,26145.63308634,0.0,0.0,2188.465349,28334.09843534,30610.82570652,317.10049515,34278.361307670006,26178.91657299,940.319188,7159.12554668,0.0,0.0,-719.5729672099997,33875.88883561001,64486.71454213001,0.0,23057.40822484999,0.0,23057.40822484999,5835.6105,28893.01872484999,2023-10-01
PAYDI,2038416.567686,0.0,0.0,2038416.567686,213535.80374872,0.0,0.0,2251952.37143472,0.0,2702234.7783527,0.0,0.0,0.0,0.0,2702234.7783527,0.0,0.0,0.0,0.0,0.0,2702234.7783527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10135.881832400002,10135.881832400002,2712370.6601851,-460418.2887503798,0.0,0.0,0.0,0.0,0.0,2023-10-01
Gabungan,2045151.9108932,359.81307259000005,74.97730320000001,2044867.07512381,230863.62701041,0.0,63765.79206748,2339496.4942017,1279.49834899,2702234.7783527,38.55742818,322.7162561,707.88905958,5.181034690000001,2704511.50562388,26145.63308634,0.0,0.0,2188.465349,28334.09843534,2732845.60405922,317.10049515,34278.361307670006,26178.91657299,940.319188,7159.12554668,0.0,0.0,9416.308865190003,44011.77066801001,2776857.37472723,-460418.2887503798,23057.408224849496,0.0,23057.408224849496,5835.6105,28893.01872484949,2023-10-01
Tradisional,7346.51036138,397.2669906,159.19993762,7108.4433084,21640.255535940007,0.0,70099.32246653,98848.02131087,1463.21914899,0.0,113.55742818,341.59684413,791.5441586700001,7.38236902,2490.1850926300003,28539.14140762,0.0,0.0,2315.458349,30854.59975662,33344.784849250005,379.45951986,38107.65311289,29243.160855150003,993.397197,7871.095060739999,0.0,0.0,1167.8709154199998,39654.98354817,72999.76839742,0.0,25848.252913449996,0.0,25848.252913449996,8191.3345,34039.58741344999,2023-11-01
PAYDI,2169308.0159759503,0.0,0.0,2169308.0159759503,207541.2996111701,0.0,0.0,2376849.3155871206,0.0,2912593.27273803,0.0,0.0,0.0,0.0,2912593.27273803,0.0,0.0,0.0,0.0,0.0,2912593.27273803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11434.24551759,11434.24551759,2924027.5182556203,-547178.2026684997,0.0,0.0,0.0,0.0,0.0,2023-11-01
Gabungan,2176654.52633733,397.2669906,159.19993762,2176416.4592843503,229181.5551471101,0.0,70099.32246653,2475697.33689799,1463.21914899,2912593.27273803,113.55742818,341.59684413,791.5441586700001,7.38236902,2915083.4578306605,28539.14140762,0.0,0.0,2315.458349,30854.59975662,2945938.0575872804,379.45951986,38107.65311289,29243.160855150003,993.397197,7871.095060739999,0.0,0.0,12602.11643301,51089.22906576,2997027.2866530404,-547178.2026684997,25848.252913449425,0.0,25848.252913449425,8191.3345,34039.58741344942,2023-11-01
Tradisional,7752.0336147,434.61346581,278.72094455,7596.14109344,23804.31296951473,0.0,86639.82415728,118040.27822023473,1522.80591419,0.0,116.05372818000001,-352.76667628999996,745.14569242,-8.23119307,1790.9000090700001,31285.786613970005,0.0,0.0,2414.358349,33700.14496297001,35491.04497204001,396.75267557,42915.28315275861,32744.00475055006,1084.277118,9087.001284208547,0.0,0.0,6209.531632449998,49521.567460778606,85012.61243281861,0.0,33027.66578741612,-128.22932622722703,33155.895113643346,10275.452045940001,43431.34715958335,2023-12-01
PAYDI,2377133.30797754,0.0,0.0,2377133.30797754,246192.54629612004,0.0,0.0,2623325.85427366,0.0,3112872.37675331,0.0,0.0,0.0,0.0,3112872.37675331,0.0,0.0,0.0,0.0,0.0,3112872.37675331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13824.538574210004,13824.538574210004,3126696.91532752,-503371.06105386,0.0,0.0,0.0,0.0,0.0,2023-12-01
Gabungan,2384885.34159224,434.61346581,278.72094455,2384729.44907098,269996.8592656348,0.0,86639.82415728,2741366.1324938945,1522.80591419,3112872.37675331,116.05372818000001,-352.76667628999996,745.14569242,-8.23119307,3114663.2767623803,31285.786613970005,0.0,0.0,2414.358349,33700.14496297001,3148363.4217253504,396.75267557,42915.28315275861,32744.00475055006,1084.277118,9087.001284208547,0.0,0.0,20034.070206660002,63346.10603498861,3211709.527760339,-503371.06105386,33027.66578741558,-128.22932622722703,33155.89511364281,10275.452045940001,43431.34715958281,2023-12-01
