IFRS_MONTH,NAMA_PRODUK,Kontrak_Baru_Periode_Berjalan,Accretion_Interest_unwind,Efek_Perubahan_Varians_n_Asumsi_Ekonomi,Amortisasi_CSM_Release,Contractual Service Margin
2024-12-01,RELIFE,0.0,0.0,0.0,-5.312825848506962e-13,3.8251497382238695e-10
2023-12-01,RPUL,0.0,0.0,0.0,0.0,0.0
2024-01-01,RPUL,0.0,0.0,0.0,0.0,0.0
2024-02-01,RPUL,0.0,0.0,0.0,0.0,0.0
2024-03-01,RPUL,0.0,0.0,0.0,0.0,0.0
2024-04-01,RPUL,0.0,0.0,0.0,0.0,0.0
2024-05-01,RPUL,0.0,0.0,0.0,0.0,0.0
2024-06-01,RPUL,375347.7921616687,0.0,-1200.0016529217828,-7971.303318133488,366176.48719061346
2024-07-01,RPUL,0.0,-569.9083141991015,-850.6447552920727,-7740.4913402461,357015.4427808762
2024-08-01,RPUL,276456.4177434307,-3604.253060678394,-54775.063917964435,-12349.290077949103,562743.253467715
2024-09-01,RPUL,6015743.315418699,117856.0673255152,-77535.74053750205,-142580.4724615981,6476226.423212829
2024-10-01,RPUL,0.0,104456.44969341437,-997786.678596749,-119622.50290489856,5463273.691404596
2024-11-01,RPUL,0.0,286964.0085630268,1005152.5704776524,-143956.43887158015,6611433.831573695
2024-12-01,RPUL,1247308.5621144867,211549.65615631427,-990336.6947727086,-150783.7740234566,6929171.58104833
2023-12-01,SPUL,-51276865305.022125,583002677.4936309,-7340182733.152764,-1238136643.865031,35343210251.96653
2024-01-01,SPUL,2515373888.409285,1288530783.9970798,15863601350.676043,-641262213.7852837,54369454061.26366
2024-02-01,SPUL,-8170649281.078116,433246036.3888653,-4431702645.782177,-498057834.32867897,41702290336.46355
2024-03-01,SPUL,1256660866.3999844,670471398.192392,6278927245.99178,-527500853.13532495,49380848993.912384
2024-04-01,SPUL,-2281914661.0660577,295118113.0608093,-7745248994.90527,-408654637.8196499,39240148813.18221
2024-05-01,SPUL,-832424039.394435,127708949.08888128,-2829136416.5424223,-402731640.2933673,35303565666.04087
