Uraian,Pendapatan_premi,Premi_Reasuransi,Penurunan_kenaikan_CAPYBMP,Jumlah_Pendapatan_Premi_Neto,Hasil_Investasi,Imbalan_Jasa_DPLK_Jasa_Manajemen_Lainnya,Pendapatan_Lain,Jumlah_Pendapatan,Klaim_dan_Manfaat_Dibayar,Klaim_Penebusan_Unit,Klaim_Reasuransi,Kenaikan_Penurunan_Cadangan_Premi,Kenaikan_Penurunan_Cadangan_Klaim,Kenaikan_Penurunan_Cadangan_atas_Risiko_Bencana_Catastrophic,Jumlah_Beban_Klaim_dan_Manfaat,Beban_Komisi_Tahun_Pertama,Beban_Komisi_Tahun_Lanjutan,Beban_Komisi_Overriding,Beban_Lainnya,Jumlah_Biaya_Akuisisi,Jumlah_Beban_Asuransi,Beban_Pemasaran,Beban_Umum_dan_Administrasi,Beban_Pegawai_dan_Pengurus,Beban_Pendidikan_dan_Pelatihan,Beban_Umum_dan_Administrasi_Lainnya,Beban_Manajemen,Beban_Mortalitas,Beban_Usaha_Lainnya,Jumlah_Beban_Usaha,Jumlah_Beban,Kenaikan_Penurunan_Nilai_Aset,Laba_Rugi_Sebelum_Pajak,Pajak_Penghasilan,Laba_Rugi_Setelah_Pajak,Pendapatan_Komprehensif_Lain,Total_Laba_Rugi_Komprehensif,IFRS_MONTH
Tradisional,4357.42513358,303.91362598,364.05743742,4417.56894502,13231.65460766,0.0,47477.57390299,65126.79745567,2122.54892462,0.0,94.66753467,-296.70130068000003,-3949.06394436,0.38120704,-2217.50264805,18935.790999670004,0.0,0.0,3819.133589,22754.924588670005,20537.421940620006,243.55070665,33561.93243037,27913.02241451,511.79875365,5137.11126221,0.0,0.0,2748.26908722,36553.75222424,57091.17416486001,0.0,8035.623290809992,0.0,8035.623290809992,-4650.82,3384.803290809992,2024-08-01
PAYDI,1066852.13495817,0.0,0.0,1066852.13495817,150750.53647131007,0.0,0.0,1217602.67142948,0.0,1311894.0611070103,0.0,0.0,0.0,0.0,1311894.0611070103,0.0,0.0,0.0,0.0,0.0,1311894.0611070103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8886.888092679997,8886.888092679997,1320780.9491996905,-103178.27777021028,0.0,0.0,0.0,0.0,0.0,2024-08-01
Gabungan,1071209.56009175,303.91362598,364.05743742,1071269.70390319,163982.19107897006,0.0,47477.57390299,1282729.4688851498,2122.54892462,1311894.0611070103,94.66753467,-296.70130068000003,-3949.06394436,0.38120704,1309676.5584589604,18935.790999670004,0.0,0.0,3819.133589,22754.924588670005,1332431.4830476304,243.55070665,33561.93243037,27913.02241451,511.79875365,5137.11126221,0.0,0.0,11635.157179899998,45440.64031691999,1377872.1233645503,-103178.27777021028,8035.623290809803,0.0,8035.623290809803,-4650.82,3384.803290809803,2024-08-01
Tradisional,5596.693378,383.54921806,-83.69024566,5129.45391428,13036.809332120003,0.0,55109.88658643,73276.14983283001,2196.92281462,0.0,94.66753467,-469.39464715,-3870.82965485,19.93903332,-2218.02998873,21512.574598050003,0.0,0.0,4413.382785,25925.95738305,23707.92739432,302.64853498,37286.81813086,31074.91754043,576.00682365,5635.89376678,0.0,0.0,3721.44372699,41310.91039283,65018.837787150005,0.0,8257.312045680002,0.0,8257.312045680002,8670.4075,16927.719545680004,2024-09-01
PAYDI,1375718.7447686398,0.0,0.0,1375718.7447686398,247401.13880108003,0.0,0.0,1623119.8835697195,0.0,1510246.95945882,0.0,0.0,0.0,0.0,1510246.95945882,0.0,0.0,0.0,0.0,0.0,1510246.95945882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10298.036829,10298.036829,1520544.9962878202,102574.88728189956,0.0,0.0,0.0,0.0,0.0,2024-09-01
Gabungan,1381315.4381466398,383.54921806,-83.69024566,1380848.1986829198,260437.94813320003,0.0,55109.88658643,1696396.0334025498,2196.92281462,1510246.95945882,94.66753467,-469.39464715,-3870.82965485,19.93903332,1508028.92947009,21512.574598050003,0.0,0.0,4413.382785,25925.95738305,1533954.8868531398,302.64853498,37286.81813086,31074.91754043,576.00682365,5635.89376678,0.0,0.0,14019.48055599,51608.94722183001,1585563.83407497,102574.88728189956,8257.312045680359,0.0,8257.312045680359,8670.4075,16927.71954568036,2024-09-01
Tradisional,7544.2447305,426.63709216,-494.47540604,6623.1322323,11798.26713863,0.0,62169.55289377,80590.9522647,2442.02424262,0.0,94.66753467,-415.05143892,-3615.62880981,43.7526249,-1639.57091588,24196.836170790004,0.0,0.0,4971.722694,29168.558864790004,27528.98794891001,337.93508631,40736.42724905,33977.17324235,592.15082365,6167.1031830500015,0.0,0.0,1960.8708107300004,43035.23314609,70564.221095,0.0,10026.731169699997,0.0,10026.731169699997,8376.802,18403.5331697,2024-10-01
PAYDI,1917710.76093364,0.0,0.0,1917710.76093364,299355.06144207995,0.0,0.0,2217065.8223757204,0.0,1685811.1307575398,0.0,0.0,0.0,0.0,1685811.1307575398,0.0,0.0,0.0,0.0,0.0,1685811.1307575398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12537.71397956,12537.71397956,1698348.8447370995,518716.9776386207,0.0,0.0,0.0,0.0,0.0,2024-10-01
Gabungan,1925255.00566414,426.63709216,-494.47540604,1924333.89316594,311153.32858070993,0.0,62169.55289377,2297656.77464042,2442.02424262,1685811.1307575398,94.66753467,-415.05143892,-3615.62880981,43.7526249,1684171.5598416596,24196.836170790004,0.0,0.0,4971.722694,29168.558864790004,1713340.1187064496,337.93508631,40736.42724905,33977.17324235,592.15082365,6167.1031830500015,0.0,0.0,14498.584790290002,55572.94712565,1768913.0658320996,518716.9776386207,10026.731169699691,0.0,10026.731169699691,8376.802,18403.53316969969,2024-10-01
Tradisional,8883.218691600001,488.55405244,-493.70422566,7900.960413500001,9997.6210168,0.0,69179.80191819,87078.38334849,2477.24838262,0.0,94.66753467,-410.56881267,-3294.25948638,43.21290318,-1279.03454792,26529.354560890002,0.0,0.0,5663.604622,32192.95918289,30913.92463497,357.75934864,44186.11946256999,36392.88639701,695.6929996499999,7097.54006591,0.0,0.0,1744.8573282300001,46288.73613943999,77202.66077440999,0.0,9875.722574080006,0.0,9875.722574080006,4324.629,14200.351574080007,2024-11-01
PAYDI,2136712.4310586397,0.0,0.0,2136712.4310586397,264991.5238487399,0.0,0.0,2401703.9549073796,0.0,1832948.7932177105,0.0,0.0,0.0,0.0,1832948.7932177105,0.0,0.0,0.0,0.0,0.0,1832948.7932177105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13568.91253766,13568.91253766,1846517.7057553704,555186.2491520091,0.0,0.0,0.0,0.0,0.0,2024-11-01
Gabungan,2145595.6497502397,488.55405244,-493.70422566,2144613.39147214,274989.1448655399,0.0,69179.80191819,2488782.3382558697,2477.24838262,1832948.7932177105,94.66753467,-410.56881267,-3294.25948638,43.21290318,1831669.7586697903,26529.354560890002,0.0,0.0,5663.604622,32192.95918289,1863862.7178526802,357.75934864,44186.11946256999,36392.88639701,695.6929996499999,7097.54006591,0.0,0.0,15313.76986589,59857.64867709999,1923720.3665297802,555186.2491520091,9875.72257408034,0.0,9875.72257408034,4324.629,14200.351574080341,2024-11-01
