IFRS_MONTH,NAMA_PRODUK,Liabilitas Kontrak Asuransi (Saldo Awal),Aset Kontrak Asuransi (Saldo Awal),Saldo Bersih Kontrak Asuransi (Saldo Awal),Pendapatan Jasa Asuransi,Ekspektasi Klaim & Beban Attributable (Estimasi),Perubahan pada Penyesuaian Risiko (RA),Perubahan pada CSM (Amortisasi),Pendapatan Jasa Asuransi Lainnya,Beban Jasa Asuransi,Beban Klaim & Biaya Attributable,Amortisasi Arus Kas Akuisisi (Beban),Kerugian dari Kontrak Merugi (Onerous),Beban Jasa Asuransi Lainnya,Hasil Jasa Asuransi Kotor,Penerimaan Premi,Arus Kas Akuisisi Asuransi,Beban Klaim & Beban Jasa Asuransi Dibayarkan,Arus Kas Bersih,Pendapatan (Beban) Keuangan Kontrak Asuransi (P&L),Pendapatan (Beban) Keuangan Kontrak Asuransi (OCI),Alokasi Aset untuk Arus Kas Akuisisi,Komponen Investasi,Perubahan Lainnya,Total Perubahan,Liabilitas Kontrak Asuransi (Saldo Akhir),Aset Kontrak Asuransi (Saldo Akhir),Saldo Bersih Kontrak Asuransi (Saldo Akhir)
2023-12-01,AJK_RELIFE,374032309.8299593,0.0,374032309.8299593,20346774.004549433,18497067.27686312,1849706.7276863125,-0.0,0,276636.9009335971,577769.9609451323,0.0,-301133.0600115352,0,-20070137.103615835,0.0,0.0,0,0.0,-20647907.06456097,0,0.0,2092298.311862753,0.0,-18555608.752698217,355476701.07726103,0.0,355476701.07726103
2024-01-01,AJK_RELIFE,355476701.07726103,0.0,355476701.07726103,17819045.73661781,16199132.487834375,1619913.2487834375,-0.0,0,-173931418.61065874,531174.4889282569,0.0,-174462593.099587,0,-191750464.34727654,0.0,0.0,0,0.0,-192281638.8362048,0,0.0,950553.126421078,0.0,-191331085.70978373,164145615.3674773,0.0,164145615.3674773
2024-02-01,AJK_RELIFE,164145615.3674773,0.0,164145615.3674773,9391806.879353272,8538006.25395752,853800.6253957519,-0.0,0,844359.4197342081,529654.2346182211,0.0,314705.185115987,0,-8547447.459619064,0.0,0.0,0,0.0,-9077101.694237284,0,0.0,911382.1696593296,0.0,-8165719.524577955,155979895.84289935,0.0,155979895.84289935
2024-03-01,AJK_RELIFE,155979895.84289935,0.0,155979895.84289935,9129788.806219079,8299808.005653707,829980.8005653707,-0.0,0,826487.1670792158,525340.0675929287,0.0,301147.0994862871,0,-8303301.639139863,0.0,0.0,0,0.0,-8828641.70673279,0,0.0,847618.7396097771,0.0,-7981022.967123014,147998872.87577635,0.0,147998872.87577635
2024-04-01,AJK_RELIFE,147998872.87577635,0.0,147998872.87577635,8769684.921898548,7972440.838089589,797244.083808959,-0.0,0,805302.0825739849,520261.9854464183,0.0,285040.0971275666,0,-7964382.839324563,0.0,0.0,0,0.0,-8484644.824770981,0,0.0,718117.1378721077,0.0,-7766527.686898874,140232345.18887746,0.0,140232345.18887746
2024-05-01,AJK_RELIFE,140232345.18887746,0.0,140232345.18887746,10044305.484855209,9131186.804413825,913118.6804413825,-0.0,0,22718577.678630155,509367.4650046507,0.0,22209210.213625506,0,12674272.193774946,0.0,0.0,0,0.0,12164904.728770297,0,0.0,801707.932635961,0.0,12966612.661406258,153198957.8502837,0.0,153198957.8502837
2024-06-01,AJK_RELIFE,153198957.8502837,0.0,153198957.8502837,8080513.895820191,7345921.723472901,734592.1723472901,-0.0,0,-809377.521653401,479514.9856080106,0.0,-1288892.5072614115,0,-8889891.417473592,0.0,0.0,0,0.0,-9369406.403081603,0,0.0,738916.6226960903,0.0,-8630489.780385513,144568468.0698982,0.0,144568468.0698982
2024-07-01,AJK_RELIFE,144568468.0698982,0.0,144568468.0698982,7744033.85500271,7040030.777275191,704003.0777275191,-0.0,0,-828965.5133850764,479184.04727349884,0.0,-1308149.5606585753,0,-8572999.368387787,0.0,0.0,0,0.0,-9052183.415661285,0,0.0,758668.6681599672,0.0,-8293514.747501317,136274953.32239687,0.0,136274953.32239687
2024-08-01,AJK_RELIFE,136274953.32239687,0.0,136274953.32239687,7350289.190640828,6682081.082400752,668208.1082400752,-0.0,0,-823396.7705899527,473968.20847945043,0.0,-1297364.9790694031,0,-8173685.96123078,0.0,0.0,0,0.0,-8647654.16971023,0,0.0,747094.2460215023,0.0,-7900559.923688727,128374393.39870813,0.0,128374393.39870813
2024-09-01,AJK_RELIFE,128374393.39870813,0.0,128374393.39870813,6975666.441242761,6341514.946584328,634151.4946584329,-0.0,0,-821650.2852544056,471244.5549458917,0.0,-1292894.8402002973,0,-7797316.726497167,0.0,0.0,0,0.0,-8268561.2814430585,0,0.0,790239.3108764305,0.0,-7478321.9705666285,120896071.4281415,0.0,120896071.4281415
