IFRS_MONTH,KEY,Kontrak_Baru_Periode_Berjalan,Accretion_Interest_unwind,Efek_Perubahan_Varians_n_Asumsi_Ekonomi,Amortisasi_CSM_Release,Contractual Service Margin,NAMA_PRODUK
2024-07-01,304_1_2023,0.0,26403.519483922955,-9130.48692604018,-182629.9277717351,3274192.4013017877,AJK
2024-08-01,304_1_2023,0.0,26090.94000701184,-9661.86505708606,-179038.13228607888,3111583.3439656347,AJK
2024-09-01,304_1_2023,0.0,20732.491988741443,-5135.382059391137,-175335.74333888854,2951844.7105560964,AJK
2023-12-01,304_2_2022,0.0,-44555.50937056187,42155.83604671317,-1132.2957975876614,46719.43194,AJK
2024-01-01,304_2_2022,0.0,-43205.36965026337,40829.18194393383,-1066.2294962451451,43277.014737425314,AJK
2024-02-01,304_2_2022,0.0,-43335.04283157927,40982.17743309843,-1000.1225210952168,39924.02681784927,AJK
2024-03-01,304_2_2022,0.0,-40560.3754745148,38232.31862217956,-934.0217660888828,36661.94819942514,AJK
2024-04-01,304_2_2022,0.0,73329.7041567663,-75651.81338760222,-867.4621638565338,33472.37680473269,AJK
2024-05-01,304_2_2022,0.0,72223.02002034309,-74517.93179140007,-800.9894597901583,30376.475573885546,AJK
2024-06-01,304_2_2022,0.0,-17588.02044515424,15342.042901166482,-735.1857636872339,27395.312266210552,AJK
2024-07-01,304_2_2022,0.0,-9633.144954396155,7415.505798475468,-669.5327612377048,24508.14034905216,AJK
2024-08-01,304_2_2022,0.0,-6943.369004185289,4752.449292784208,-604.0027572281258,21713.21788042295,AJK
2024-09-01,304_2_2022,0.0,-8992.964741086531,6827.322201192612,-538.571684431096,19009.003656097935,AJK
2023-12-01,304_3_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-01-01,304_3_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-02-01,304_3_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-03-01,304_3_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-04-01,304_3_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-05-01,304_3_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-06-01,304_3_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-07-01,304_3_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-08-01,304_3_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-09-01,304_3_2023,0.0,0.0,0.0,0.0,0.0,AJK
2023-12-01,306_1_2023,311944.530073619,622332.7601818849,2061032.214357792,-14045136.598298572,258741061.9613568,AJK
2024-01-01,306_1_2023,0.0,-703179.0817792008,2140723.2153934184,-8137087.798869563,252041518.29610145,AJK
2024-02-01,306_1_2023,0.0,-848451.6605657492,2249412.531834823,-8048958.124344828,245393521.0430257,AJK
2024-03-01,306_1_2023,0.0,-883006.1343339942,2246457.0565196066,-7947957.933948819,238809014.0312625,AJK
2024-04-01,306_1_2023,0.0,6383143.34142482,-5198624.737537929,-7822436.405470884,232171096.22967848,AJK
2024-05-01,306_1_2023,0.0,6621077.596856325,-5469415.451992736,-7666681.422958456,225656076.95158362,AJK
2024-06-01,306_1_2023,0.0,511648.425068379,741699.2299621073,-7539643.228912882,219369781.37770122,AJK
2024-07-01,306_1_2023,0.0,930338.6950333631,287547.92875111673,-7403009.897538462,213184658.10394725,AJK
2024-08-01,306_1_2023,0.0,1068223.6618531358,114863.63953247669,-7275452.133943846,207092293.271389,AJK
2024-09-01,306_1_2023,0.0,774716.7104193023,374157.590441438,-7097502.202424369,201143665.3698254,AJK
2024-01-01,306_1_2024,709721.2498171153,4178.2518243872655,-139.04469565391992,-15311.741292547233,698448.7156533013,AJK
